id,composerkey,title,genre,form,performer,pageurl,mediaurl
10152,BACHJOHANNSEBASTIAN,Partita No. 3 Prelude,classical,partita,,https://archive.org/details/Partita3_prelude,https://archive.org/download/Partita3_prelude/Partita3_prelude_64kb.mp3
2124,BACHJOHANNSEBASTIAN,My Heart Ever Faithful,classical,hymn,,https://archive.org/details/VrsAcoustics-88575-LouiseHomer,https://archive.org/download/VrsAcoustics-88575-LouiseHomer/Homer_88575.mp3
351,BEETHOVEN,Symphony No. 5,classical,symphony,,https://archive.org/details/BeethovenSymphonyNo.5,https://archive.org/download/BeethovenSymphonyNo.5/ToscaniniBeethoven5_64kb.mp3
121,BEETHOVEN,Symphony No. 8,classical,symphony,,https://archive.org/details/BeethovenSymphonyNo.8,https://archive.org/download/BeethovenSymphonyNo.8/01.allegroVivaceEConBrio.mp3
3770,BEETHOVEN,Piano Sonata No. 6,classical,solo instrument,,https://archive.org/details/BeethovenPianoSonataNo.6,https://archive.org/download/BeethovenPianoSonataNo.6/BeethovenSonata6_64kb.mp3
3760,BEETHOVEN,Piano Sonata No. 26,classical,solo instrument,,https://archive.org/details/BeethovenPianoSonataNo.26,https://archive.org/download/BeethovenPianoSonataNo.26/BeethovenPianoSonata26.mp3
3772,BEETHOVEN,Piano Sonata No. 8,classical,solo instrument,,https://archive.org/details/BeethovenPianoSonataNo.8,https://archive.org/download/BeethovenPianoSonataNo.8/BeethovenSonata8_64kb.mp3
2143,GLINKAMIKHAIL,?,classical,30,,https://archive.org/details/VrsAcoustics-88656-FeodorChaliapin,https://archive.org/download/VrsAcoustics-88656-FeodorChaliapin/Chaliapin_88656_64kb.mp3
2088,GLUCKCHRISTOPHWRVON,?,classical,30,Alma Gluck and Louise Homer,https://archive.org/details/VrsAcoustics-88375-AlmaGluckLouiseHomer,https://archive.org/download/VrsAcoustics-88375-AlmaGluckLouiseHomer/Gluck_Homer_88375_64kb.mp3
3773,BEETHOVEN,Piano Sonata No. 9,classical,solo instrument,,https://archive.org/details/BeethovenPianoSonataNo.9,https://archive.org/download/BeethovenPianoSonataNo.9/BeethovenPianoSonata9_64kb.mp3
