id|source|sourceid|composerkey|title|genre|form|sourcetitle|performer
 10152 | 78rpm  | Partita3_prelude                                        | BACHJOHANNSEBASTIAN  | Partita No. 3 Prelude                                                  | classical | partita         | Partita #3_Prelude                                                     | 
  3668 | 78rpm  | Bach-stokowskiChaconne                                  | BACHJOHANNSEBASTIAN  | Chaconne                                                               | classical | chaconne        | BACH-STOKOWSKI: Chaconne                                               | 
  2124 | 78rpm  | VrsAcoustics-88575-LouiseHomer                          | BACHJOHANNSEBASTIAN  | My Heart Ever Faithful                                                 | classical | hymn            | VRS Acoustics - 88575 - Louise Homer                                   | 
  8643 | 78rpm  | J.S.BachBrandenburgConcertoNo.5                         | BACHJOHANNSEBASTIAN  | Brandenburg Concerto No. 5                                             | classical | concerto        | J. S. BACH: Brandenburg Concerto No. 5                                 | 
  8640 | 78rpm  | J.S.BachBrandenburgConcertoNo2                          | BACHJOHANNSEBASTIAN  | Brandenburg Concerto No. 2                                             | classical | concerto        | J. S. BACH: Brandenburg Concerto No 2                                  | 
  8639 | 78rpm  | J.S.BachBrandenburgConcertoNo.1                         | BACHJOHANNSEBASTIAN  | Brandenburg Concerto No. 1                                             | classical | concerto        | J. S. BACH: Brandenburg Concerto No. 1                                 | 
  8644 | 78rpm  | J.S.BachBrandenburgConcertoNo.6                         | BACHJOHANNSEBASTIAN  | Brandenburg Concerto No. 6                                             | classical | concerto        | J. S. BACH: Brandenburg Concerto No. 6                                 | 
  8641 | 78rpm  | J.S.BachBrandenburgConcertoNo.3                         | BACHJOHANNSEBASTIAN  | Brandenburg Concerto No. 3                                             | classical | concerto        | J. S. BACH: Brandenburg Concerto No. 3                                 | 
  3695 | 78rpm  | BarberSymphonyNo.1                                      | BARBER               | Symphony No. 1                                                         | classical | symphony        | BARBER: Symphony No. 1                                                 | 
  3712 | 78rpm  | BartokMusicForStringInstrumentsPercussionAndCelesta     | BARTOK               | Music for String Instruments, Percussion and Celesta                   | classical | chamber         | BARTOK: Music for String Instruments, Percussion and Celesta           | 
  3713 | 78rpm  | BartokViolinConcertoNo.2                                | BARTOK               | Violin Concerto No. 2                                                  | classical | concerto        | BARTOK: Violin Concerto No. 2                                          | 
  3778 | 78rpm  | BeethovenSymphonyNo.3walter                             | BEETHOVEN            | Symphony No. 3                                                         | classical | 30              | BEETHOVEN: Symphony No. 3                                              | 
  3779 | 78rpm  | BeethovenSymphonyNo.4                                   | BEETHOVEN            | Symphony No. 4                                                         | classical | symphony        | BEETHOVEN: Symphony No. 4                                              | 
  3780 | 78rpm  | BeethovenSymphonyNo.5_331                               | BEETHOVEN            | Symphony No. 5                                                         | classical | symphony        | BEETHOVEN: Symphony No. 5                                              | 
   351 | 78rpm  | BeethovenSymphonyNo.5                                   | BEETHOVEN            | Symphony No. 5                                                         | classical | symphony        | Beethoven Symphony No. 5                                               | 
   121 | 78rpm  | BeethovenSymphonyNo.8                                   | BEETHOVEN            | Symphony No. 8                                                         | classical | symphony        | Beethoven: Symphony No. 8                                              | 
  3781 | 78rpm  | BeethovenSymphonyNo.9choral                             | BEETHOVEN            | Symphony No. 9                                                         | classical | symphony        | BEETHOVEN: Symphony No. 9 ('Choral')                                   | 
  3770 | 78rpm  | BeethovenPianoSonataNo.6                                | BEETHOVEN            | Piano Sonata No. 6                                                     | classical | solo instrument | Beethoven Piano Sonata No. 6                                           | 
  3760 | 78rpm  | BeethovenPianoSonataNo.26                               | BEETHOVEN            | Piano Sonata No. 26                                                    | classical | solo instrument | Beethoven: Piano Sonata No. 26                                         | 
  3772 | 78rpm  | BeethovenPianoSonataNo.8                                | BEETHOVEN            | Piano Sonata No. 8                                                     | classical | solo instrument | Beethoven Piano Sonata No.8                                            | 
  2143 | 78rpm  | VrsAcoustics-88656-FeodorChaliapin                      | GLINKAMIKHAIL        | ?                                                                      | classical | 30              | VRS Acoustics - 88656 - Feodor Chaliapin                               | 
  2088 | 78rpm  | VrsAcoustics-88375-AlmaGluckLouiseHomer                 | GLUCKCHRISTOPHWRVON  | ?                                                                      | classical | 30              | VRS Acoustics - 88375 - Alma Gluck & Louise Homer                      | Alma Gluck and Louise Homer
  3773 | 78rpm  | BeethovenPianoSonataNo.9                                | BEETHOVEN            | Piano Sonata No. 9                                                     | classical | solo instrument | Beethoven: Piano Sonata No. 9                                          | 
  3762 | 78rpm  | BeethovenPianoSonataNo.28                               | BEETHOVEN            | Piano Sonata No. 28                                                    | classical | solo instrument | Beethoven: Piano Sonata No. 28                                         | 
    56 | 78rpm  | BeethovenPianoSonataNo.2                                | BEETHOVEN            | Piano Sonata No. 2                                                     | classical | solo instrument | Beethoven Piano Sonata No. 2                                           | 
  3769 | 78rpm  | BeethovenPianoSonataNo.5                                | BEETHOVEN            | Piano Sonata No. 5                                                     | classical | solo instrument | Beethoven Piano Sonata No. 5                                           | 
  3747 | 78rpm  | BeethovenPianoSonata17                                  | BEETHOVEN            | Piano Sonata No. 17                                                    | classical | solo instrument | Beethoven: Piano Sonata # 17                                           | 
   109 | 78rpm  | BeethovenPianoSonataNo.1                                | BEETHOVEN            | Piano Sonata No. 1                                                     | classical | solo instrument | Beethoven Piano Sonata No.1                                            | 
   111 | 78rpm  | BeethovenPianoSonata15                                  | BEETHOVEN            | Piano Sonata No. 15                                                    | classical | solo instrument | Beethoven: Piano Sonata # 15                                           | 
   120 | 78rpm  | BeethovenPianoSonata13                                  | BEETHOVEN            | Piano Sonata No. 13                                                    | classical | solo instrument | Beethoven: Piano Sonata # 13                                           | 
   350 | 78rpm  | BeethovenPianoSonata16                                  | BEETHOVEN            | Piano Sonata No. 16                                                    | classical | solo instrument | Beethoven: Piano Sonata # 16                                           | 
  3782 | 78rpm  | BeethovenViolinConcertoheifetz                          | BEETHOVEN            | Violin Concerto                                                        | classical | concerto        | BEETHOVEN: Violin Concerto                                             | 
  3783 | 78rpm  | BeethovenViolinConcertokreisler                         | BEETHOVEN            | Violin Concerto                                                        | classical | concerto        | BEETHOVEN: Violin Concerto                                             | 
